tenure,MonthlyCharges,RetentionActions
41,25.25,Offer annual contract discounts
52,19.35,No specific action needed
1,76.35,"Offer discounts on renewal, Suggest cheaper plans or bundles, Suggest secure payment methods, Offer annual contract discounts"
67,50.55,No specific action needed
23,77.15,Suggest cheaper plans or bundles
1,19.4,"Offer discounts on renewal, Offer annual contract discounts"
1,20.45,"Offer discounts on renewal, Offer annual contract discounts"
34,84.05,"Suggest cheaper plans or bundles, Offer annual contract discounts"
11,53.75,"Suggest secure payment methods, Offer annual contract discounts"
1,70.0,"Offer discounts on renewal, Suggest secure payment methods, Offer annual contract discounts"
